g1_7;g1_8;g1_9;g1_10;g1_11;g1_12;g1_13;g1_14;g1_15;g1_16;g1_17
1.156e-15;-1.13009e-16;-1.78493e-16;7.4521e-17;1.24874e-16;4.48002e-17;-3.14914e-16;2.09583e-18;-1.05974e-16;-3.04633e-17;-1.50638e-17
-1.80449e-16;6.75208e-15;-2.31598e-16;-3.40721e-16;-8.65416e-16;-1.8275e-17;-1.09741e-16;-1.77681e-15;-1.0872e-16;-3.44115e-15;-2.64161e-17
-1.83215e-16;-2.65903e-16;5.83749e-15;-8.34575e-17;-6.75936e-17;-7.51772e-16;4.78019e-17;-6.6902e-17;-3.77687e-15;-1.11595e-16;-9.59731e-16
-7.11831e-18;-8.2303e-17;-2.16515e-17;1.11688e-15;3.0339e-17;1.43635e-17;-1.2601e-16;1.17492e-18;4.87458e-19;4.25494e-18;1.0665e-18
-4.04878e-18;-4.06155e-16;-1.37011e-17;-1.1836e-17;1.0296e-15;-1.61919e-17;-1.58849e-17;-6.80331e-18;-4.77573e-18;6.35868e-20;-5.08648e-19
-3.99204e-18;-1.97712e-17;-3.52123e-16;-9.10449e-18;-2.99169e-17;8.7267e-16;-1.09875e-18;-4.73595e-18;-1.0733e-17;-3.37769e-18;-7.92248e-19
-4.12875e-18;-4.04627e-16;-6.98344e-17;-6.65061e-16;-1.42485e-16;-7.62597e-17;4.40457e-16;-1.75772e-17;-5.50437e-18;-1.28264e-17;-7.71917e-18
-1.91e-17;-1.76903e-15;-5.24525e-17;-9.53052e-19;-2.55853e-17;-1.19259e-17;-4.4109e-18;2.02186e-15;-1.25996e-16;-2.62634e-17;-6.83104e-18
-1.13664e-16;-1.0594e-16;-3.77997e-15;-4.05989e-18;-1.31896e-17;-3.05333e-17;-9.49106e-18;-1.24527e-16;4.29803e-15;-7.85143e-17;-1.37789e-17
-4.71815e-17;-3.33088e-15;-1.09871e-16;-3.27382e-19;3.97572e-19;-7.14566e-18;-3.85867e-19;-2.87776e-17;-7.93725e-17;3.73978e-15;-6.95753e-17
-2.03951e-17;-2.29669e-17;-9.28985e-16;2.00324e-19;-1.14184e-18;-9.30146e-19;-2.57901e-19;-7.55598e-18;-1.44108e-17;-7.29003e-17;1.09513e-15
